PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38992607","Prior tuberculosis, radiographic lung abnormalities and prevalent diabetes in rural South Africa","Castle AC, Moosa Y, Claassen H, Shenoi S, Magodoro I, Manne-Goehler J, Hanekom W, Bassett IV, Wong EB, Siedner MJ.","BMC Infect Dis. 2024 Jul 11;24(1):690. doi: 10.1186/s12879-024-09583-8.","Castle AC","BMC Infect Dis","2024","2024/07/11","PMC11238449","","10.1186/s12879-024-09583-8"
"38487729","Identification and molecular characterization of Mycobacterium bovis DNA in GeneXpert® MTB/RIF ultra-positive, culture-negative sputum from a rural community in South Africa","Goosen WJ, Moodley S, Ghielmetti G, Moosa Y, Zulu T, Smit T; Vukuzazi Team; Kleynhans L, Kerr TJ, Streicher EM, Hanekom WA, Warren RM, Wong EB, Miller MA.","One Health. 2024 Mar 3;18:100702. doi: 10.1016/j.onehlt.2024.100702. eCollection 2024 Jun.","Goosen WJ","One Health","2024","2024/03/15","PMC10937233","","10.1016/j.onehlt.2024.100702"
"38176743","Convergence of HIV and non-communicable disease epidemics: geospatial mapping of the unmet health needs in an HIV hyperendemic community in South Africa","Cuadros DF, Devi C, Singh U, Olivier S, Castle AC, Moosa Y, Edwards JA, Kim HY, Siedner MJ, Wong EB, Tanser F.","BMJ Glob Health. 2024 Jan 4;9(1):e012730. doi: 10.1136/bmjgh-2023-012730.","Cuadros DF","BMJ Glob Health","2024","2024/01/04","PMC10773360","","10.1136/bmjgh-2023-012730"
"37781137","Geospatial assessment of the convergence of communicable and non-communicable diseases in South Africa","Cuadros DF, Moreno CM, Tomita A, Singh U, Olivier S, Castle A, Moosa Y, Edwards JA, Kim HY, Siedner MJ, Wong EB, Tanser F.","J Multimorb Comorb. 2023 Sep 28;13:26335565231204119. doi: 10.1177/26335565231204119. eCollection 2023 Jan-Dec.","Cuadros DF","J Multimorb Comorb","2023","2023/10/02","PMC10540575","","10.1177/26335565231204119"
"37591585","The met and unmet health needs for HIV, hypertension, and diabetes in rural KwaZulu-Natal, South Africa: analysis of a cross-sectional multimorbidity survey","Singh U, Olivier S, Cuadros D, Castle A, Moosa Y, Zulu T, Edwards JA, Kim HY, Gunda R, Koole O, Surujdeen A, Gareta D, Munatsi D, Modise TH, Dreyer J, Nxumalo S, Smit TK, Ordering-Jespersen G, Mpofana IB, Khan K, Sikhosana ZEL, Moodley S, Shen YJ, Khoza T, Mhlongo N, Bucibo S, Nyamande K, Baisley KJ, Grant AD, Herbst K, Seeley J, Pillay D, Hanekom W, Ndung'u T, Siedner MJ, Tanser F, Wong EB; Vukuzazi team.","Lancet Glob Health. 2023 Sep;11(9):e1372-e1382. doi: 10.1016/S2214-109X(23)00239-5.","Singh U","Lancet Glob Health","2023","2023/08/17","PMC10447220","","10.1016/S2214-109X(23)00239-5"
"37034610","Convergence of HIV and non-communicable disease epidemics: Geospatial mapping of the unmet health needs in a HIV Hyperendemic South African community","Cuadros DF, Devi C, Singh U, Olivier S, Castle A, Moosa Y, Edwards JA, Kim HY, Siedner MJ, Wong EB, Tanser F.","medRxiv [Preprint]. 2023 Mar 29:2023.03.27.23287807. doi: 10.1101/2023.03.27.23287807.","Cuadros DF","medRxiv","2023","2023/04/10","PMC10081404","","10.1101/2023.03.27.23287807"
"36993494","Quantifying met and unmet health needs for HIV, hypertension and diabetes in rural KwaZulu-Natal, South Africa","Singh U, Olivier S, Cuadros D, Castle A, Moosa Y, Edwards JA, Kim HY, Siedner MJ, Tanser F, Wong EB.","Res Sq [Preprint]. 2023 Mar 21:rs.3.rs-2702048. doi: 10.21203/rs.3.rs-2702048/v1.","Singh U","Res Sq","2023","2023/03/30","PMC10055615","","10.21203/rs.3.rs-2702048/v1"
"36928895","Association between prior tuberculosis disease and dysglycemia within an HIV-endemic, rural South African population","Castle AC, Hoeppner SS, Magodoro IM, Singh U, Moosa Y, Bassett IV, Wong EB, Siedner MJ; Vukuzazi Study Team.","PLoS One. 2023 Mar 16;18(3):e0282371. doi: 10.1371/journal.pone.0282371. eCollection 2023.","Castle AC","PLoS One","2023","2023/03/17","PMC10019670","","10.1371/journal.pone.0282371"
"34272478","Publisher Correction: Computer-aided interpretation of chest radiography reveals the spectrum of tuberculosis in rural South Africa","Fehr J, Konigorski S, Olivier S, Gunda R, Surujdeen A, Gareta D, Smit T, Baisley K, Moodley S, Moosa Y, Hanekom W, Koole O, Ndung'u T, Pillay D, Grant AD, Siedner MJ, Lippert C, Wong EB; Vukuzazi Team.","NPJ Digit Med. 2021 Jul 16;4(1):115. doi: 10.1038/s41746-021-00485-6.","Fehr J","NPJ Digit Med","2021","2021/07/17","PMC8285518","","10.1038/s41746-021-00485-6"
"34215836","Computer-aided interpretation of chest radiography reveals the spectrum of tuberculosis in rural South Africa","Fehr J, Konigorski S, Olivier S, Gunda R, Surujdeen A, Gareta D, Smit T, Baisley K, Moodley S, Moosa Y, Hanekom W, Koole O, Ndung'u T, Pillay D, Grant AD, Siedner MJ, Lippert C, Wong EB; Vukuzazi Team.","NPJ Digit Med. 2021 Jul 2;4(1):106. doi: 10.1038/s41746-021-00471-y.","Fehr J","NPJ Digit Med","2021","2021/07/03","PMC8253848","","10.1038/s41746-021-00471-y"
"32984081","Determinants of Vaginal Microbiota Composition","Moosa Y, Kwon D, de Oliveira T, Wong EB.","Front Cell Infect Microbiol. 2020 Sep 2;10:467. doi: 10.3389/fcimb.2020.00467. eCollection 2020.","Moosa Y","Front Cell Infect Microbiol","2020","2020/09/28","PMC7492712","","10.3389/fcimb.2020.00467"
"32082269","Current Affairs of Microbial Genome-Wide Association Studies: Approaches, Bottlenecks and Analytical Pitfalls","San JE, Baichoo S, Kanzi A, Moosa Y, Lessells R, Fonseca V, Mogaka J, Power R, de Oliveira T.","Front Microbiol. 2020 Jan 30;10:3119. doi: 10.3389/fmicb.2019.03119. eCollection 2019.","San JE","Front Microbiol","2020","2020/02/22","PMC7002396","","10.3389/fmicb.2019.03119"
"31508204","Global network of computational biology communities: ISCB's Regional Student Groups breaking barriers","Shome S, Parra RG, Fatima N, Monzon AM, Cuypers B, Moosa Y, Coimbra NDR, Assis J, Giner-Delgado C, Dönertaş HM, Cuesta-Astroz Y, Saarunya G, Allali I, Gupta S, Srivastava A, Kalsan M, Valdivia C, J Olguin-Orellana G, Papadimitriou S, Parisi D, Kristensen NP, Rib L, Guebila MB, Bauer E, Zaffaroni G, Bekkar A, Ashano E, Paladin L, Necci M, Moreyra NN, Rydén M, Villalobos-Solís J, Papadopoulos N, Rafael C, Karakulak T, Kaya Y, Gladbach Y, Dhanda SK, Šoštarić N, Alex A, DeBlasio D, Rahman F.","F1000Res. 2019 Sep 2;8:ISCB Comm J-1574. doi: 10.12688/f1000research.20408.1. eCollection 2019.","Shome S","F1000Res","2019","2019/09/12","PMC6720036","","10.12688/f1000research.20408.1"
"30124794","Genome Detective: an automated system for virus identification from high-throughput sequencing data","Vilsker M, Moosa Y, Nooij S, Fonseca V, Ghysens Y, Dumon K, Pauwels R, Alcantara LC, Vanden Eynden E, Vandamme AM, Deforche K, de Oliveira T.","Bioinformatics. 2019 Mar 1;35(5):871-873. doi: 10.1093/bioinformatics/bty695.","Vilsker M","Bioinformatics","2019","2018/08/21","PMC6524403","","10.1093/bioinformatics/bty695"
"29370775","Case report: mechanisms of HIV elite control in two African women","Moosa Y, Tanko RF, Ramsuran V, Singh R, Madzivhandila M, Yende-Zuma N, Abrahams MR, Selhorst P, Gounder K, Moore PL, Williamson C, Abdool Karim SS, Garrett NJ, Burgers WA.","BMC Infect Dis. 2018 Jan 25;18(1):54. doi: 10.1186/s12879-018-2961-8.","Moosa Y","BMC Infect Dis","2018","2018/01/27","PMC5785875","","10.1186/s12879-018-2961-8"
"29333232","Highlights of the second ISCB Student Council Symposium in Africa, 2017","Rafael CN, Ashano E, Moosa Y, Shome S, DeBlasio D.","F1000Res. 2017 Dec 28;6:ISCB Comm J-2183. doi: 10.12688/f1000research.13463.1. eCollection 2017.","Rafael CN","F1000Res","2017","2018/01/16","PMC5749132","","10.12688/f1000research.13463.1"
"28845264","A34 Automated profiling of the human virome from raw metagenomic data","Moosa Y, Vilsker M, Vanden Eyden E, Fonseca V, Nooij S, Deforche K, de Oliveira T.","Virus Evol. 2017 Mar 5;3(Suppl 1):vew036.033. doi: 10.1093/ve/vew036.033. eCollection 2017 Mar.","Moosa Y","Virus Evol","2017","2017/08/29","PMC5565974","","10.1093/ve/vew036.033"
